0.000199, 0.019900, 20
0.000810, 0.030549, 20
0.002185, 0.068735, 20
0.004476, 0.114559, 20
0.007684, 0.160382, 20
0.011808, 0.206207, 20
0.016848, 0.252032, 20
0.022805, 0.297859, 20
0.029679, 0.343689, 20
0.037470, 0.389523, 20
0.046177, 0.435364, 20
0.055801, 0.481212, 20
0.066343, 0.527073, 20
0.077802, 0.572948, 20
0.090178, 0.618842, 20
0.103474, 0.664760, 20
0.117688, 0.710708, 20
0.132822, 0.756691, 20
0.148876, 0.802718, 20
0.165852, 0.848797, 20
0.183751, 0.894937, 20
0.202574, 0.941149, 20
0.222323, 0.987444, 20
0.242999, 1.033835, 20
0.264606, 1.080335, 20
0.287145, 1.126960, 20
0.310620, 1.173725, 20
0.335033, 1.220650, 20
0.360388, 1.267751, 20
0.386689, 1.315051, 20
0.413940, 1.362569, 20
0.442147, 1.410328, 20
0.471314, 1.458353, 20
0.501447, 1.506668, 20
0.532553, 1.555300, 20
0.564639, 1.604274, 20
0.597711, 1.653620, 20
0.631778, 1.703365, 20
0.666849, 1.753540, 20
0.702933, 1.804174, 20
0.740038, 1.855297, 20
0.778177, 1.906940, 20
0.817360, 1.959133, 20
0.857598, 2.011907, 20
0.898904, 2.065291, 20
0.941290, 2.119315, 20
0.984770, 2.174008, 20
1.029358, 2.229396, 20
1.075068, 2.285506, 20
1.121916, 2.342363, 20
1.169915, 2.399990, 20
1.219084, 2.458409, 20
1.269436, 2.517641, 20
1.320990, 2.577701, 20
1.373763, 2.638607, 20
1.427770, 2.700372, 20
1.483030, 2.763006, 20
1.539561, 2.826519, 20
1.597379, 2.890919, 20
1.656503, 2.956209, 20
1.716951, 3.022392, 20
1.778740, 3.089469, 20
1.841889, 3.157440, 20
1.906415, 3.226301, 20
1.972336, 3.296048, 20
2.039670, 3.366677, 20
2.108433, 3.438181, 20
2.178468, 3.501730, 20
2.249433, 3.548241, 20
2.320979, 3.577298, 20
2.392928, 3.597459, 20
2.465279, 3.617537, 20
2.538029, 3.637522, 20
2.611177, 3.657407, 20
2.684721, 3.677187, 20
2.758658, 3.696859, 20
2.832986, 3.716421, 20
2.907704, 3.735875, 20
2.982808, 3.755220, 20
3.058298, 3.774461, 20
3.134170, 3.793600, 20
3.210422, 3.812644, 20
3.287054, 3.831597, 20
3.364064, 3.850467, 20
3.441449, 3.869260, 20
3.519209, 3.887987, 20
3.597342, 3.906654, 20
3.675847, 3.925271, 20
3.754724, 3.943847, 20
3.833972, 3.962393, 20
3.913590, 3.980918, 20
3.993579, 3.999432, 20
4.073938, 4.017946, 20
4.154667, 4.036470, 20
4.235768, 4.055014, 20
4.317239, 4.073588, 20
4.399083, 4.092202, 20
4.481301, 4.110865, 20
4.563892, 4.129587, 20
4.646860, 4.148376, 20
4.730205, 4.167240, 20
4.813928, 4.186188, 20
4.898033, 4.205224, 20
4.982520, 4.224357, 20
5.067392, 4.243590, 20
5.152650, 4.262928, 20
5.238298, 4.282374, 20
5.324337, 4.301929, 20
5.410768, 4.321593, 20
5.497596, 4.341366, 20
5.584821, 4.361243, 20
5.672445, 4.381220, 20
5.760471, 4.401291, 20
5.848900, 4.421446, 20
5.937733, 4.441674, 20
6.026972, 4.461962, 20
6.116618, 4.482293, 20
6.206671, 4.502648, 20
6.297131, 4.523006, 20
6.387998, 4.543341, 20
6.479271, 4.563628, 20
6.570947, 4.583833, 20
6.663026, 4.603925, 20
6.755503, 4.623865, 20
6.848375, 4.643615, 20
6.941638, 4.663130, 20
7.035285, 4.682364, 20
7.129311, 4.701270, 20
7.223707, 4.719796, 20
7.318464, 4.737889, 20
7.413574, 4.755494, 20
7.509025, 4.772554, 20
7.604806, 4.789012, 20
7.700902, 4.804810, 20
7.797300, 4.819892, 20
7.893984, 4.834199, 20
7.990937, 4.847679, 20
8.088143, 4.860276, 20
8.185582, 4.871943, 20
8.283234, 4.882631, 20
8.381080, 4.892300, 20
8.479098, 4.900911, 20
8.577267, 4.908434, 20
8.675564, 4.914843, 20
8.773966, 4.920118, 20
8.872451, 4.924246, 20
8.970996, 4.927223, 20
9.069577, 4.929048, 20
9.163989, 4.720592, 20
9.253494, 4.475258, 20
9.343346, 4.492606, 20
9.433561, 4.510737, 20
9.524154, 4.529690, 20
9.615145, 4.549511, 20
9.706549, 4.570244, 20
9.798388, 4.591936, 20
9.890681, 4.614635, 20
9.983449, 4.638390, 20
10.076714, 4.663252, 20
10.170499, 4.689271, 20
10.264829, 4.716499, 20
10.359729, 4.744984, 20
10.455224, 4.774777, 20
10.551343, 4.805923, 20
10.648112, 4.838464, 20
10.745561, 4.872438, 20
10.843718, 4.907874, 20
10.942614, 4.944794, 20
11.042278, 4.983207, 20
11.142741, 5.023109, 20
11.244030, 5.064477, 20
11.346175, 5.107269, 20
11.449204, 5.151415, 20
11.553140, 5.196819, 20
11.658007, 5.243351, 20
11.763824, 5.290840, 20
11.870605, 5.339077, 20
11.978362, 5.387803, 20
12.087096, 5.436713, 20
12.196805, 5.485449, 20
12.307477, 5.533602, 20
12.419091, 5.580715, 20
12.531617, 5.626284, 20
12.645012, 5.669769, 20
12.759224, 5.710604, 20
12.874188, 5.748210, 20
12.989829, 5.782011, 20
13.106058, 5.811456, 20
13.222779, 5.836038, 20
13.339885, 5.855316, 20
13.457132, 5.862355, 20
13.573977, 5.842258, 20
13.689715, 5.786903, 20
13.803778, 5.703151, 20
13.915902, 5.606189, 20
14.025996, 5.504720, 20
14.133985, 5.399442, 20
14.239806, 5.291057, 20
14.343411, 5.180255, 20
14.444765, 5.067689, 20
